hour,t(sec),V1,VAngle1,V2,VAngle2,I1,IAngle1,I2,IAngle2
1, 0.00000, 8037.29, -31.0908, 19.9994, -0.532419, 40.659, -54.2377, 40.659, 125.762
2, 0.00000, 8048.68, -30.94, 16.6446, -0.297467, 33.8231, -54.0784, 33.8231, 125.922
3, 0.00000, 8044.57, -30.9874, 13.3328, 0.391716, 27.0615, -54.1102, 27.0615, 125.89
4, 0.00000, 8028.99, -31.186, 13.3657, 0.805742, 27.1126, -54.3059, 27.1126, 125.694
5, 0.00000, 8017.45, -31.3375, 16.7037, 0.327759, 33.9518, -54.4702, 33.9518, 125.53
6, 0.00000, 7965.82, -31.9976, 26.8159, -0.496081, 54.737, -55.1714, 54.737, 124.829
7, 0.00000, 7907.65, -32.7173, 33.6358, -0.858286, 68.9746, -55.9179, 68.9746, 124.082
8, 0.00000, 7828.12, -33.6519, 26.9947, 0.651558, 55.6953, -56.8319, 55.6953, 123.168
9, 0.00000, 7715.33, -34.943, 27.1117, 1.45848, 56.511, -58.136, 56.511, 121.864
10, 0.00000, 7700.89, -35.1096, 30.4454, 0.767464, 63.7183, -58.3145, 63.7183, 121.685
11, 0.00000, 7666.29, -35.4989, 33.7996, 0.2566, 71.141, -58.7152, 71.141, 121.285
12, 0.00000, 7666.16, -35.4993, 33.7968, 0.257672, 71.1473, -58.7212, 71.1473, 121.279
13, 0.00000, 7749.82, -34.5675, 37.1372, -0.59988, 77.4495, -57.7959, 77.4495, 122.204
14, 0.00000, 7739.79, -34.672, 30.4161, 0.561703, 63.3994, -57.8753, 63.3994, 122.125
15, 0.00000, 7700.95, -35.1094, 30.4439, 0.769512, 63.715, -58.3111, 63.715, 121.689
16, 0.00000, 7720.4, -34.8903, 30.4314, 0.664339, 63.5614, -58.0985, 63.5614, 121.902
17, 0.00000, 7706.06, -35.0564, 33.7861, 0.0939576, 70.7776, -58.2734, 70.7776, 121.727
18, 0.00000, 7792.35, -34.0856, 40.5168, -1.15131, 84.0618, -57.3225, 84.0618, 122.678
19, 0.00000, 7806.72, -33.933, 50.827, -2.12017, 105.007, -57.2056, 105.007, 122.794
20, 0.00000, 7842.93, -33.5103, 50.8195, -2.15253, 104.524, -56.7809, 104.524, 123.219
21, 0.00000, 7834.28, -33.6209, 57.791, -2.60169, 118.68, -56.9132, 118.68, 123.087
22, 0.00000, 7878.27, -33.0923, 50.8074, -2.18767, 104.056, -56.3595, 104.056, 123.64
23, 0.00000, 7950.1, -32.2104, 40.415, -1.6455, 82.3965, -55.4352, 82.3965, 124.565
24, 0.00000, 7998.24, -31.5944, 26.7709, -0.797574, 54.5171, -54.7676, 54.5171, 125.232
