hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)","P4 (kW)","Q4 (kvar)"
1, 0.00000, 66.6667, 28.4004, 66.6667, 28.3999, 66.6667, 28.3999, 0, 0
2, 0.00000, 66.6665, 28.405, 66.6665, 28.3998, 66.6668, 28.3998, 0, 0
3, 0.00000, 133.333, 56.7983, 133.33, 56.7965, 133.331, 56.7959, 0, 0
4, 0.00000, 199.996, 85.1803, 199.993, 85.1934, 199.993, 85.1932, 0, 0
5, 0.00000, 199.995, 85.1819, 200.001, 85.1993, 200, 85.2009, 0, 0
6, 0.00000, 266.664, 113.592, 266.667, 113.599, 266.667, 113.6, 0, 0
7, 0.00000, 399.993, 170.376, 400.001, 170.397, 399.999, 170.398, 0, 0
8, 0.00000, 799.969, 340.695, 799.994, 340.737, 799.99, 340.739, 0, 0
9, 0.00000, 1199.97, 511.165, 1199.99, 511.19, 1199.99, 511.193, 0, 0
10, 0.00000, 1199.98, 511.131, 1200, 511.203, 1200, 511.205, 0, 0
11, 0.00000, 1266.62, 539.419, 1266.67, 539.56, 1266.66, 539.565, 0, 0
12, 0.00000, 1266.67, 539.595, 1266.67, 539.598, 1266.67, 539.598, 0, 0
13, 0.00000, 933.348, 397.613, 933.337, 397.601, 933.338, 397.6, 0, 0
14, 0.00000, 1066.66, 454.382, 1066.66, 454.342, 1066.66, 454.341, 0, 0
15, 0.00000, 1199.96, 511.044, 1200, 511.125, 1199.99, 511.128, 0, 0
16, 0.00000, 1133.35, 482.865, 1133.33, 482.829, 1133.34, 482.827, 0, 0
17, 0.00000, 1133.32, 482.737, 1133.34, 482.802, 1133.33, 482.804, 0, 0
18, 0.00000, 733.342, 312.407, 733.335, 312.4, 733.335, 312.399, 0, 0
19, 0.00000, 533.335, 227.209, 533.335, 227.209, 533.335, 227.209, 0, 0
20, 0.00000, 400.006, 170.422, 400, 170.402, 400.001, 170.401, 0, 0
21, 0.00000, 333.331, 141.993, 333.334, 142, 333.333, 142, 0, 0
22, 0.00000, 266.671, 113.615, 266.666, 113.6, 266.667, 113.599, 0, 0
23, 0.00000, 133.335, 56.8063, 133.333, 56.7998, 133.333, 56.7997, 0, 0
24, 0.00000, 133.334, 56.8022, 133.333, 56.7997, 133.333, 56.7997, 0, 0
